"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Shin_Saimdang"	"Shin Saimdang"	1504
"http://dbpedia.org/resource/Laura_Terracina"	"Laura Terracina"	1519
"http://dbpedia.org/resource/Moderata_Fonte"	"Moderata Fonte"	1555
"http://dbpedia.org/resource/Lucrezia_Marinella"	"Lucrezia Marinella"	1571
"http://dbpedia.org/resource/Benedetta_Carlini"	"Benedetta Carlini"	1590
"http://dbpedia.org/resource/Kirsten_Munk"	"Kirsten Munk"	1598
"http://dbpedia.org/resource/Anne_Bradstreet"	"Anne Bradstreet"	1612
"http://dbpedia.org/resource/Ninon_de_l'Enclos"	"Ninon de l'Enclos"	1620
"http://dbpedia.org/resource/Gabrielle_Suchon"	"Gabrielle Suchon"	1632
"http://dbpedia.org/resource/Dorothe_Engelbretsdatter"	"Dorothe Engelbretsdatter"	1634
"http://dbpedia.org/resource/Juana_Inés_de_la_Cruz"	"Juana Inés de la Cruz"	1648
"http://dbpedia.org/resource/Sophia_Elisabet_Brenner"	"Sophia Elisabet Brenner"	1659
"http://dbpedia.org/resource/John_Vanbrugh"	"John Vanbrugh"	1664
"http://dbpedia.org/resource/Francis_Hutcheson_(philosopher)"	"Francis Hutcheson (philosopher)"	1694
"http://dbpedia.org/resource/Dorothea_Erxleben"	"Dorothea Erxleben"	1715
"http://dbpedia.org/resource/Hedvig_Charlotta_Nordenflycht"	"Hedvig Charlotta Nordenflycht"	1718
"http://dbpedia.org/resource/Madeleine_de_Puisieux"	"Madeleine de Puisieux"	1720
"http://dbpedia.org/resource/Hannah_Lee_Corbin"	"Hannah Lee Corbin"	1728
"http://dbpedia.org/resource/Inés_Joyes_y_Blake"	"Inés Joyes y Blake"	1731
"http://dbpedia.org/resource/Catharina_Ahlgren"	"Catharina Ahlgren"	1734
"http://dbpedia.org/resource/John_Adams"	"John Adams"	1735
"http://dbpedia.org/resource/Thomas_Paine"	"Thomas Paine"	1737
"http://dbpedia.org/resource/Marquis_de_Condorcet"	"Marquis de Condorcet"	1743
"http://dbpedia.org/resource/Abigail_Adams"	"Abigail Adams"	1744
"http://dbpedia.org/resource/Theodosia_Bartow_Prevost"	"Theodosia Bartow Prevost"	1746
"http://dbpedia.org/resource/Olympe_de_Gouges"	"Olympe de Gouges"	1748
"http://dbpedia.org/resource/Francisco_de_Miranda"	"Francisco de Miranda"	1750
"http://dbpedia.org/resource/Judith_Sargent_Murray"	"Judith Sargent Murray"	1751
"http://dbpedia.org/resource/Anna_Maria_Lenngren"	"Anna Maria Lenngren"	1754
