"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Francis_Hutcheson_(philosopher)"	"University of Glasgow"	1694
"http://dbpedia.org/resource/Marquis_de_Condorcet"	"College of Navarre"	1743
"http://dbpedia.org/resource/Timothy_Fuller"	"Harvard University"	1778
"http://dbpedia.org/resource/John_Stuart_Mill"	"University College London"	1806
"http://dbpedia.org/resource/William_Henry_Channing"	"Harvard Divinity School"	1810
"http://dbpedia.org/resource/William_Henry_Channing"	"Harvard University"	1810
"http://dbpedia.org/resource/Wendell_Phillips"	"Boston Latin School"	1811
"http://dbpedia.org/resource/Wendell_Phillips"	"Harvard Law School"	1811
"http://dbpedia.org/resource/Wendell_Phillips"	"Harvard University"	1811
"http://dbpedia.org/resource/Lucinda_Hinsdale_Stone"	"University of Michigan"	1814
"http://dbpedia.org/resource/Lucy_Stone"	"Oberlin College"	1818
"http://dbpedia.org/resource/Sarah_Parker_Remond"	"Hospital of Santa Maria Nuova"	1826
"http://dbpedia.org/resource/Sarah_Parker_Remond"	"Bedford College (London)"	1826
"http://dbpedia.org/resource/Emily_Dickinson"	"Mount Holyoke College"	1830
"http://dbpedia.org/resource/Marilla_Ricker"	"Colby–Sawyer College"	1840
"http://dbpedia.org/resource/Evelyn_Baring,_1st_Earl_of_Cromer"	"Royal Military Academy, Woolwich"	1841
"http://dbpedia.org/resource/Evelyn_Baring,_1st_Earl_of_Cromer"	"Staff College, Camberley"	1841
"http://dbpedia.org/resource/Helen_M._Gougar"	"Hillsdale College"	1843
"http://dbpedia.org/resource/Alice_Vickery"	"London School of Medicine for Women"	1844
"http://dbpedia.org/resource/Anna_Kingsford"	"University of Paris"	1846
"http://dbpedia.org/resource/Arabella_Mansfield"	"Iowa Wesleyan College"	1846
"http://dbpedia.org/resource/Anna_Howard_Shaw"	"Boston University School of Medicine"	1847
"http://dbpedia.org/resource/Anna_Howard_Shaw"	"Boston University School of Theology"	1847
"http://dbpedia.org/resource/Anna_Howard_Shaw"	"Albion College"	1847
"http://dbpedia.org/resource/Jane_Ellen_Harrison"	"University of Cambridge"	1850
"http://dbpedia.org/resource/Jane_Ellen_Harrison"	"Cheltenham Ladies' College"	1850
"http://dbpedia.org/resource/Jane_Ellen_Harrison"	"Newnham College"	1850
"http://dbpedia.org/resource/Aletta_Jacobs"	"University of Groningen"	1854
"http://dbpedia.org/resource/Charlotte_Wilson"	"Newnham College, Cambridge"	1854
"http://dbpedia.org/resource/Emma_Pieczynska-Reichenbach"	"University of Geneva"	1854
"http://dbpedia.org/resource/Harriot_Stanton_Blatch"	"Vassar College"	1856
"http://dbpedia.org/resource/Eliza_Ritchie"	"Cornell University"	1856
"http://dbpedia.org/resource/Eliza_Ritchie"	"Dalhousie University"	1856
"http://dbpedia.org/resource/Karolina_Widerström"	"Karolinska Institutet"	1856
"http://dbpedia.org/resource/Sigmund_Freud"	"University of Vienna"	1856
"http://dbpedia.org/resource/Alice_Stone_Blackwell"	"Boston University"	1857
"http://dbpedia.org/resource/Hilda_Sachs"	"Royal Seminary"	1857
"http://dbpedia.org/resource/Charles_Sheldon"	"Phillips Academy, Andover"	1857
"http://dbpedia.org/resource/Bella_Guerin"	"University of Melbourne"	1858
"http://dbpedia.org/resource/Christian_von_Ehrenfels"	"University of Vienna"	1859
"http://dbpedia.org/resource/Cecilia_Grierson"	"University of Buenos Aires"	1859
"http://dbpedia.org/resource/Ella_Knowles_Haskell"	"Bates College"	1860
"http://dbpedia.org/resource/Christina_Henderson"	"University of Canterbury"	1861
"http://dbpedia.org/resource/Mary_Isabel_Fraser"	"University of Otago"	1863
"http://dbpedia.org/resource/Helena_Swanwick"	"Girton College, Cambridge"	1864
"http://dbpedia.org/resource/Roman_Dmowski"	"University of Warsaw"	1864
"http://dbpedia.org/resource/Tsuda_Umeko"	"Yale University"	1864
"http://dbpedia.org/resource/Grace_Julian_Clarke"	"Butler University"	1865
"http://dbpedia.org/resource/H._G._Wells"	"Royal College of Science"	1866
"http://dbpedia.org/resource/Gulli_Petrini"	"Uppsala University"	1867
"http://dbpedia.org/resource/Enid_Stacy"	"University of Bristol"	1868
"http://dbpedia.org/resource/Anne_O'Hagan_Shinn"	"Boston University"	1869
"http://dbpedia.org/resource/Alfred_Adler"	"University of Vienna"	1870
"http://dbpedia.org/resource/Maud_Wood_Park"	"Doane Stuart School"	1871
"http://dbpedia.org/resource/Maud_Wood_Park"	"Radcliffe College"	1871
"http://dbpedia.org/resource/Stella_Henderson"	"University of Canterbury"	1871
"http://dbpedia.org/resource/Lizzy_van_Dorp"	"Leiden University"	1872
"http://dbpedia.org/resource/Felicija_Bortkevičienė"	"Flying University"	1873
"http://dbpedia.org/resource/Mary_Dewson"	"Wellesley College"	1874
"http://dbpedia.org/resource/Branislav_Petronijević"	"University of Leipzig"	1875
"http://dbpedia.org/resource/Branislav_Petronijević"	"University of Vienna"	1875
"http://dbpedia.org/resource/Nesta_Helen_Webster"	"Westfield College"	1876
"http://dbpedia.org/resource/Mary_Ritter_Beard"	"DePauw University"	1876
"http://dbpedia.org/resource/Susan_Glaspell"	"University of Chicago"	1876
"http://dbpedia.org/resource/Helen_Archdale"	"University of St Andrews"	1876
"http://dbpedia.org/resource/Susan_Glaspell"	"Drake University"	1876
"http://dbpedia.org/resource/Lizzy_Lind_af_Hageby"	"London School of Medicine for Women"	1878
"http://dbpedia.org/resource/Lizzy_Lind_af_Hageby"	"Cheltenham Ladies' College"	1878
"http://dbpedia.org/resource/Zabel_Yesayan"	"Sorbonne University"	1878
"http://dbpedia.org/resource/Dimitrana_Ivanova"	"University of Zürich"	1881
"http://dbpedia.org/resource/Dimitrana_Ivanova"	"University of Sofia"	1881
"http://dbpedia.org/resource/Sylvia_Pankhurst"	"Royal College of Art"	1882
"http://dbpedia.org/resource/Sylvia_Pankhurst"	"Manchester School of Art"	1882
"http://dbpedia.org/resource/Virginia_Woolf"	"King's College London"	1882
"http://dbpedia.org/resource/Ona_Mašiotienė"	"Moscow State Pedagogical University"	1883
"http://dbpedia.org/resource/Scott_Nearing"	"University of Pennsylvania"	1883
"http://dbpedia.org/resource/Freda_Bage"	"University of Melbourne"	1883
"http://dbpedia.org/resource/Clarence_Dill"	"University of Delaware"	1884
"http://dbpedia.org/resource/Clarence_Dill"	"Ohio Wesleyan University"	1884
"http://dbpedia.org/resource/Nathalie_Demassieux"	"University of Paris"	1884
"http://dbpedia.org/resource/Helene_Deutsch"	"University of Vienna"	1884
"http://dbpedia.org/resource/Tanzan_Ishibashi"	"Waseda University"	1884
"http://dbpedia.org/resource/Sabina_Spielrein"	"University of Zurich"	1885
"http://dbpedia.org/resource/Sarah_Winstedt"	"University of Edinburgh"	1886
"http://dbpedia.org/resource/Sofija_Kymantaitė-Čiurlionienė"	"Jagiellonian University"	1886
"http://dbpedia.org/resource/Sarah_Winstedt"	"London School of Tropical Medicine"	1886
"http://dbpedia.org/resource/Juliet_Stuart_Poyntz"	"Barnard College"	1886
"http://dbpedia.org/resource/Miriam_Van_Waters"	"University of Oregon"	1887
"http://dbpedia.org/resource/Miriam_Van_Waters"	"Clark University"	1887
"http://dbpedia.org/resource/Sue_Shelton_White"	"Washington College of Law"	1887
"http://dbpedia.org/resource/Agnes_de_Lima"	"Vassar College"	1887
"http://dbpedia.org/resource/Katherine_Laird_Cox"	"Newnham College, Cambridge"	1887
"http://dbpedia.org/resource/Clara_Campoamor"	"Complutense University of Madrid"	1888
"http://dbpedia.org/resource/Doris_Stevens"	"Oberlin College"	1888
"http://dbpedia.org/resource/Ursula_McConnel"	"University of Sydney"	1888
"http://dbpedia.org/resource/Emanuel_Celler"	"Columbia College, Columbia University"	1888
"http://dbpedia.org/resource/Emanuel_Celler"	"Bachelor of Laws"	1888
"http://dbpedia.org/resource/Jessie_Street"	"University of Sydney"	1889
"http://dbpedia.org/resource/Marjorie_Hillis"	"Miss Dana's School for Young Ladies"	1889
"http://dbpedia.org/resource/B._R._Ambedkar"	"University of Mumbai"	1891
"http://dbpedia.org/resource/B._R._Ambedkar"	"Columbia University"	1891
"http://dbpedia.org/resource/B._R._Ambedkar"	"Master of Arts"	1891
"http://dbpedia.org/resource/B._R._Ambedkar"	"London School of Economics"	1891
"http://dbpedia.org/resource/B._R._Ambedkar"	"Doctor of Philosophy"	1891
"http://dbpedia.org/resource/B._R._Ambedkar"	"Doctor of Science"	1891
"http://dbpedia.org/resource/B._R._Ambedkar"	"Gray's Inn"	1891
"http://dbpedia.org/resource/Antonio_Gramsci"	"University of Turin"	1891
"http://dbpedia.org/resource/C._E._M._Joad"	"University of Oxford"	1891
"http://dbpedia.org/resource/C._E._M._Joad"	"Balliol College, Oxford"	1891
"http://dbpedia.org/resource/Ella_Lillian_Wall_Van_Leer"	"University of California, Berkeley"	1892
"http://dbpedia.org/resource/Edna_St._Vincent_Millay"	"Vassar College"	1892
"http://dbpedia.org/resource/Kevin_O'Higgins"	"University College Dublin"	1892
"http://dbpedia.org/resource/Vera_Brittain"	"Somerville College, Oxford"	1893
"http://dbpedia.org/resource/Mao_Zedong"	"Hunan First Normal University"	1893
"http://dbpedia.org/resource/Ksenija_Atanasijević"	"University of Belgrade"	1894
"http://dbpedia.org/resource/Howard_Hawks"	"Cornell University"	1896
"http://dbpedia.org/resource/Wayne_N._Aspinall"	"University of Denver"	1896
"http://dbpedia.org/resource/Pak_Hon-yong"	"International Lenin School"	1900
"http://dbpedia.org/resource/Lin_Hui_Xiang"	"University of the Philippines"	1901
"http://dbpedia.org/resource/Lin_Hui_Xiang"	"Xiamen University"	1901
"http://dbpedia.org/resource/Ali_Sastroamidjojo"	"Leiden University"	1903
"http://dbpedia.org/resource/Thelma_Bate"	"University of Sydney"	1904
"http://dbpedia.org/resource/Wanda_Wasilewska"	"Jagiellonian University"	1905
"http://dbpedia.org/resource/Rashid_Jahan"	"Isabella Thoburn College"	1905
"http://dbpedia.org/resource/Rashid_Jahan"	"Lady Hardinge Medical College"	1905
"http://dbpedia.org/resource/Esther_Peterson"	"Brigham Young University"	1906
"http://dbpedia.org/resource/Esther_Peterson"	"Teachers College, Columbia University"	1906
"http://dbpedia.org/resource/A._J._P._Taylor"	"Oriel College, Oxford"	1906
"http://dbpedia.org/resource/Mahadevi_Varma"	"Allahabad University"	1907
"http://dbpedia.org/resource/Ezlynn_Deraniyagala"	"Hillwood College"	1908
"http://dbpedia.org/resource/Ezlynn_Deraniyagala"	"St. Bridget's Convent, Colombo"	1908
