"fk_lieu","lieu_naissance","eff","geo_coord"
http://www.wikidata.org/entity/Q649,Moscow,70,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q60,New York City,53,Point(-74.0 40.7)
http://www.wikidata.org/entity/Q2807,Madrid,45,Point(-3.703333333 40.416944444)
http://www.wikidata.org/entity/Q727,Amsterdam,44,Point(4.893611111 52.372777777)
http://www.wikidata.org/entity/Q3616,Tehran,40,Point(51.416666666 35.7)
http://www.wikidata.org/entity/Q84,London,39,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q1486,Buenos Aires,34,Point(-58.381944444 -34.599722222)
http://www.wikidata.org/entity/Q2887,Santiago,34,Point(-70.65 -33.4375)
http://www.wikidata.org/entity/Q64,Berlin,34,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q1297,Chicago,33,Point(-87.65005 41.85003)
http://www.wikidata.org/entity/Q1492,Barcelona,32,Point(2.176944444 41.3825)
http://www.wikidata.org/entity/Q90,Paris,30,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q1741,Vienna,29,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q18419,Brooklyn,28,Point(-73.990277777 40.692777777)
http://www.wikidata.org/entity/Q2868,Lima,28,Point(-77.0375 -12.06)
http://www.wikidata.org/entity/Q656,Saint Petersburg,28,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q85,Cairo,26,Point(31.235833333 30.044444444)
http://www.wikidata.org/entity/Q1748,Copenhagen,24,Point(12.568888888 55.676111111)
http://www.wikidata.org/entity/Q1489,Mexico City,20,Point(-99.145555555 19.419444444)
http://www.wikidata.org/entity/Q340,Montreal,20,Point(-73.561666666 45.508888888)
http://www.wikidata.org/entity/Q270,Warsaw,18,Point(21.011111111 52.23)
http://www.wikidata.org/entity/Q65,Los Angeles,18,Point(-118.24368 34.05223)
http://www.wikidata.org/entity/Q1055,Hamburg,16,Point(10.0 53.55)
http://www.wikidata.org/entity/Q1218,Jerusalem,16,Point(35.225555555 31.778888888)
http://www.wikidata.org/entity/Q1781,Budapest,16,Point(19.040833333 47.498333333)
http://www.wikidata.org/entity/Q5838,Kabul,16,Point(69.165833333 34.532777777)
http://www.wikidata.org/entity/Q174,São Paulo,15,Point(-46.633947222 -23.550394444)
http://www.wikidata.org/entity/Q36600,The Hague,15,Point(4.31 52.08)
http://www.wikidata.org/entity/Q1899,Kyiv,14,Point(30.523611111 50.45)
http://www.wikidata.org/entity/Q30,United States of America,14,Point(-98.5795 39.828175)
http://www.wikidata.org/entity/Q803,Utrecht,13,Point(5.121666666 52.090833333)
http://www.wikidata.org/entity/Q9248,Baku,13,Point(49.835183333 40.366655555)
http://www.wikidata.org/entity/Q1085,Prague,12,Point(14.421388888 50.0875)
http://www.wikidata.org/entity/Q1533,Caracas,12,Point(-66.933333333 10.5)
http://www.wikidata.org/entity/Q3820,Beirut,12,Point(35.513055555 33.886944444)
http://www.wikidata.org/entity/Q61,"Washington, D.C.",12,Point(-77.036666666 38.895)
http://www.wikidata.org/entity/Q11739,Lahore,11,Point(74.343611111 31.549722222)
http://www.wikidata.org/entity/Q12439,Detroit,11,Point(-83.0475 42.331666666)
http://www.wikidata.org/entity/Q1563,Havana,11,Point(-82.358888888 23.136666666)
http://www.wikidata.org/entity/Q3130,Sydney,11,Point(151.21 -33.867777777)
http://www.wikidata.org/entity/Q3141,Melbourne,11,Point(144.963055555 -37.814166666)
http://www.wikidata.org/entity/Q406,Istanbul,11,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q1156,Mumbai,10,Point(72.8775 19.075833333)
http://www.wikidata.org/entity/Q1555,Guatemala City,10,Point(-90.52525 14.609861111)
