"annee_naissance","fk_lieu","lieu_naissance","geo_coord"
1816,http://www.wikidata.org/entity/Q3933,Celle,Point(10.0825 52.625555555)
1816,http://www.wikidata.org/entity/Q10531743,Härnösands domkyrkoförsamling,Point(17.941886111 62.631063888)
1816,http://www.wikidata.org/entity/Q487070,Dessau,Point(12.246111111 51.834166666)
1817,http://www.wikidata.org/entity/Q181578,Qazvin,Point(50.0041 36.285436666)
1817,http://www.wikidata.org/entity/Q3773203,Gomersal,Point(-1.68824 53.7362)
1817,http://www.wikidata.org/entity/Q2345706,Sengeløse,Point(12.2431 55.6814)
1817,http://www.wikidata.org/entity/Q36947,Salvador,Point(-38.492777777 -12.983055555)
1818,http://www.wikidata.org/entity/Q486566,Homer,Point(-76.178611111 42.636944444)
1818,http://www.wikidata.org/entity/Q503883,St. Bernard Parish,Point(-89.35 29.89)
1818,http://www.wikidata.org/entity/Q474605,Rochdale,Point(-2.161 53.6136)
1818,http://www.wikidata.org/entity/Q962640,West Brookfield,Point(-72.141666666 42.235277777)
1818,http://www.wikidata.org/entity/Q962640,West Brookfield,Point(-72.14119 42.23537)
1818,http://www.wikidata.org/entity/Q213497,Fontenay-le-Comte,Point(-0.806388888 46.466944444)
1819,http://www.wikidata.org/entity/Q2447509,Goshen,Point(-73.235833333 41.851388888)
1819,http://www.wikidata.org/entity/Q1022,Stuttgart,Point(9.18 48.7775)
1819,http://www.wikidata.org/entity/Q507967,Bad Sülze,Point(12.666666666 54.133333333)
1819,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
1819,http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
1820,http://www.wikidata.org/entity/Q1003761,Stowe,Point(-1.017 52.018)
1820,http://www.wikidata.org/entity/Q351740,Adams,Point(-73.118055555 42.624166666)
1820,http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
1820,http://www.wikidata.org/entity/Q153974,Barmen,Point(7.2 51.266666666)
1821,http://www.wikidata.org/entity/Q23154,Bristol,Point(-2.5975 51.453611111)
1821,http://www.wikidata.org/entity/Q1388877,Lyndon,Point(-72.0075179 44.5450155)
1821,http://www.wikidata.org/entity/Q334874,Sighetu Marmației,Point(23.894694444 47.930944444)
1822,http://www.wikidata.org/entity/Q501263,Dorchester County,Point(-76.08 38.42)
1822,http://www.wikidata.org/entity/Q25804,Trondheim,Point(10.4 63.44)
1822,http://www.wikidata.org/entity/Q100,Boston,Point(-71.057777777 42.360277777)
1822,http://www.wikidata.org/entity/Q7947,Pushkin,Point(30.416666666 59.716666666)
1822,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
1822,http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
1823,http://www.wikidata.org/entity/Q2106553,Mern,Point(12.0572 55.0478)
1823,http://www.wikidata.org/entity/Q10718453,Q10718453,Point(16.573888888 57.658888888)
1823,http://www.wikidata.org/entity/Q3708701,Pompey,Point(-76.015833333 42.898888888)
1824,http://www.wikidata.org/entity/Q838701,Saint-Denis-lès-Bourg,Point(5.192222222 46.199722222)
1824,http://www.wikidata.org/entity/Q768030,Bains-les-Bains,Point(6.263611111 48.0025)
1824,http://www.wikidata.org/entity/Q51860,Carovigno,Point(17.659444444 40.707222222)
1824,http://www.wikidata.org/entity/Q628226,Lusignan,Point(0.122777777 46.434722222)
1824,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
1825,http://www.wikidata.org/entity/Q334874,Sighetu Marmației,Point(23.894694444 47.930944444)
1825,http://www.wikidata.org/entity/Q23154,Bristol,Point(-2.5975 51.453611111)
1825,http://www.wikidata.org/entity/Q1669573,Kirchdorf,Point(7.47889 53.4486)
1825,http://www.wikidata.org/entity/Q5092,Baltimore,Point(-76.615 39.286388888)
1825,http://www.wikidata.org/entity/Q632993,Melrose,Point(-2.716666666 55.583333333)
