"generations","lieu_naissance","geo_coord","effectif"
"1801-1825",Boston,Point(-71.057777777 42.360277777),1
"1801-1825",Stowe,Point(-1.017 52.018),1
"1801-1825",Stuttgart,Point(9.18 48.7775),1
"1801-1825",Härnösands domkyrkoförsamling,Point(17.941886111 62.631063888),1
"1801-1825",Q10718453,Point(16.573888888 57.658888888),1
"1801-1825",Lyndon,Point(-72.0075179 44.5450155),1
"1801-1825",Barmen,Point(7.2 51.266666666),1
"1801-1825",Kirchdorf,Point(7.47889 53.4486),1
"1801-1825",Dublin,Point(-6.260277777 53.349722222),2
"1801-1825",Qazvin,Point(50.0041 36.285436666),1
"1801-1825",Mern,Point(12.0572 55.0478),1
"1801-1825",Fontenay-le-Comte,Point(-0.806388888 46.466944444),1
"1801-1825",Bristol,Point(-2.5975 51.453611111),2
"1801-1825",Sengeløse,Point(12.2431 55.6814),1
"1801-1825",Goshen,Point(-73.235833333 41.851388888),1
"1801-1825",Trondheim,Point(10.4 63.44),1
"1801-1825",Sighetu Marmației,Point(23.894694444 47.930944444),2
"1801-1825",Adams,Point(-73.118055555 42.624166666),1
"1801-1825",Salvador,Point(-38.492777777 -12.983055555),1
"1801-1825",Pompey,Point(-76.015833333 42.898888888),1
"1801-1825",Gomersal,Point(-1.68824 53.7362),1
"1801-1825",Celle,Point(10.0825 52.625555555),1
"1801-1825",Rochdale,Point(-2.161 53.6136),1
"1801-1825",Homer,Point(-76.178611111 42.636944444),1
"1801-1825",Dessau,Point(12.246111111 51.834166666),1
"1801-1825",Dorchester County,Point(-76.08 38.42),1
"1801-1825",St. Bernard Parish,Point(-89.35 29.89),1
"1801-1825",Bad Sülze,Point(12.666666666 54.133333333),1
"1801-1825",Baltimore,Point(-76.615 39.286388888),1
"1801-1825",Carovigno,Point(17.659444444 40.707222222),1
"1801-1825",Lusignan,Point(0.122777777 46.434722222),1
"1801-1825",Melrose,Point(-2.716666666 55.583333333),1
"1801-1825",Amsterdam,Point(4.893611111 52.372777777),1
"1801-1825",Bains-les-Bains,Point(6.263611111 48.0025),1
"1801-1825",Pushkin,Point(30.416666666 59.716666666),1
"1801-1825",Saint-Denis-lès-Bourg,Point(5.192222222 46.199722222),1
"1801-1825",London,Point(-0.1275 51.507222222),2
"1801-1825",Paris,Point(2.352222222 48.856666666),1
"1801-1825",West Brookfield,Point(-72.14119 42.23537),1
"1801-1825",West Brookfield,Point(-72.141666666 42.235277777),1
"1826-1850",Deventer,Point(6.2 52.25),2
"1826-1850",Moquegua,Point(-70.933333 -17.2),1
"1826-1850",Store Heddinge,Point(12.3869 55.3086),1
