"fk_personne","nom","annee_nais","fk_uni","universite"
http://www.wikidata.org/entity/Q6177457,Jeni Bojilova-Pateva,1878,http://www.wikidata.org/entity/Q12291455,"""Nancho Popovich"" Natural Sciences High School"
http://www.wikidata.org/entity/Q16063667,Elisabeth Møller Jensen,1946,http://www.wikidata.org/entity/Q924265,Aarhus University
http://www.wikidata.org/entity/Q62081246,Mette Kunøe,1937,http://www.wikidata.org/entity/Q924265,Aarhus University
http://www.wikidata.org/entity/Q12326772,Meta Ditzel,1910,http://www.wikidata.org/entity/Q924265,Aarhus University
http://www.wikidata.org/entity/Q21264572,Rikke Frank Jørgensen,1966,http://www.wikidata.org/entity/Q924265,Aarhus University
http://www.wikidata.org/entity/Q63197629,Marta Reina Izquiano,1970,http://www.wikidata.org/entity/Q3326342,Abat Oliba CEU University
http://www.wikidata.org/entity/Q102291424,Houda Abouz,1995,http://www.wikidata.org/entity/Q3551367,Abdelmalek Essaâdi University
http://www.wikidata.org/entity/Q106509765,Lydie Beassemda,1967,http://www.wikidata.org/entity/Q308329,Abdou Moumouni University
http://www.wikidata.org/entity/Q63974615,Akhtar Khan,1983,http://www.wikidata.org/entity/Q16057940,Abdul Wali Khan University Mardan
http://www.wikidata.org/entity/Q815046,Beko Ransome-Kuti,1940,http://www.wikidata.org/entity/Q30589924,Abeokuta Grammar School
http://www.wikidata.org/entity/Q16173072,Q16173072,1972,http://www.wikidata.org/entity/Q12077273,Academy of Advocacy of Ukraine
http://www.wikidata.org/entity/Q104173678,Božena Rothmayerová,1899,http://www.wikidata.org/entity/Q414309,"Academy of Arts, Architecture and Design in Prague"
http://www.wikidata.org/entity/Q5703629,Argentina Díaz Lozano,1909,http://www.wikidata.org/entity/Q4671553,Academy of the Holy Names
http://www.wikidata.org/entity/Q5703629,Argentina Díaz Lozano,1912,http://www.wikidata.org/entity/Q4671553,Academy of the Holy Names
http://www.wikidata.org/entity/Q12326083,Marie Luplau,1848,http://www.wikidata.org/entity/Q337454,Académie Colarossi
http://www.wikidata.org/entity/Q2158495,Marthe de Kerchove de Denterghem,1877,http://www.wikidata.org/entity/Q337480,Académie Julian
http://www.wikidata.org/entity/Q273087,Augusta Savage,1892,http://www.wikidata.org/entity/Q337504,Académie de la Grande Chaumière
http://www.wikidata.org/entity/Q61946148,An Dekker,1931,http://www.wikidata.org/entity/Q337504,Académie de la Grande Chaumière
http://www.wikidata.org/entity/Q107268386,Vilda Ciurlo,1928,http://www.wikidata.org/entity/Q2822439,Accademia Nazionale d'Arte Drammatica Silvio D'Amico
http://www.wikidata.org/entity/Q20810423,Anna Bossman,1957,http://www.wikidata.org/entity/Q4673779,Achimota School
http://www.wikidata.org/entity/Q4256751,Uladzimir Levaneuski,1986,http://www.wikidata.org/entity/Q348402,Adam Mickiewicz University in Poznań
http://www.wikidata.org/entity/Q116940063,Iza Moczarna-Pasiek,1972,http://www.wikidata.org/entity/Q348402,Adam Mickiewicz University in Poznań
http://www.wikidata.org/entity/Q16142975,Sev Ozdowski,1949,http://www.wikidata.org/entity/Q348402,Adam Mickiewicz University in Poznań
http://www.wikidata.org/entity/Q60649272,Billene Seyoum Woldeyes,1982,http://www.wikidata.org/entity/Q99286792,Addis Ababa University School of Commerce
http://www.wikidata.org/entity/Q21536592,Mary Cecil Tenison Woods,1893,http://www.wikidata.org/entity/Q7895009,Adelaide Law School
http://www.wikidata.org/entity/Q41503061,Carlos A. Nobre,1951,http://www.wikidata.org/entity/Q1317163,Aeronautics Institute of Technology
http://www.wikidata.org/entity/Q4973293,Ulla Poppius,1919,http://www.wikidata.org/entity/Q10402050,Af Chapmangymnasiet
http://www.wikidata.org/entity/Q22099742,Victoria Hsu,1972,http://www.wikidata.org/entity/Q712051,Affiliated Senior High School of National Taiwan Normal University
http://www.wikidata.org/entity/Q91503406,Ella King Russell Torrey,1925,http://www.wikidata.org/entity/Q4693064,Agnes Irwin School
http://www.wikidata.org/entity/Q97187436,Nato Shavlakadze,1966,http://www.wikidata.org/entity/Q16375275,Agricultural University of Georgia
http://www.wikidata.org/entity/Q42755244,Balghis Badri,1948,http://www.wikidata.org/entity/Q400222,Ahfad University for Women
http://www.wikidata.org/entity/Q27452260,Rachel Bakam,1982,http://www.wikidata.org/entity/Q401034,Ahmadu Bello University
http://www.wikidata.org/entity/Q115055261,Mukhtar Abdulsalam,1993,http://www.wikidata.org/entity/Q30254204,Ahmadu Bello University Teaching Hospital
http://www.wikidata.org/entity/Q4885681,Ben Freeth,1971,http://www.wikidata.org/entity/Q2827855,Aiglon College
http://www.wikidata.org/entity/Q2026844,Bruce P. Jackson,1952,http://www.wikidata.org/entity/Q2827855,Aiglon College
http://www.wikidata.org/entity/Q1391733,Farag Foda,1945,http://www.wikidata.org/entity/Q2723670,Ain Shams University
http://www.wikidata.org/entity/Q149496,Mohamed Ibrahim Mostafa,1979,http://www.wikidata.org/entity/Q2723670,Ain Shams University
http://www.wikidata.org/entity/Q149937,Wael Abbas,1974,http://www.wikidata.org/entity/Q2723670,Ain Shams University
http://www.wikidata.org/entity/Q11766308,Mahboubeh Abbasgholizadeh,1958,http://www.wikidata.org/entity/Q2723670,Ain Shams University
http://www.wikidata.org/entity/Q13141979,Fatima Naoot,1964,http://www.wikidata.org/entity/Q2723670,Ain Shams University
http://www.wikidata.org/entity/Q48973353,Basma Abdel Aziz,1976,http://www.wikidata.org/entity/Q2723670,Ain Shams University
http://www.wikidata.org/entity/Q16195523,Gamal Eid,1964,http://www.wikidata.org/entity/Q2723670,Ain Shams University
http://www.wikidata.org/entity/Q2848963,Andrée Michel,1920,http://www.wikidata.org/entity/Q2302586,Aix-Marseille University
http://www.wikidata.org/entity/Q2856963,Antoinette Fouque,1936,http://www.wikidata.org/entity/Q21592577,Aix-Marseille University (1896-1971)
http://www.wikidata.org/entity/Q36233,Václav Havel,1936,http://www.wikidata.org/entity/Q10726782,Akademické gymnázium Štěpánská
http://www.wikidata.org/entity/Q265133,Amina Wadud,1952,http://www.wikidata.org/entity/Q173959,Al-Azhar University
http://www.wikidata.org/entity/Q4165667,Essam el-Erian,1954,http://www.wikidata.org/entity/Q173959,Al-Azhar University
http://www.wikidata.org/entity/Q3193040,Kareem Amer,1984,http://www.wikidata.org/entity/Q173959,Al-Azhar University
http://www.wikidata.org/entity/Q149760,Ahmed Subhy Mansour,1949,http://www.wikidata.org/entity/Q173959,Al-Azhar University
http://www.wikidata.org/entity/Q4666088,Abdullah al-Hamid,1950,http://www.wikidata.org/entity/Q173959,Al-Azhar University
http://www.wikidata.org/entity/Q84601657,Margot Badran,1936,http://www.wikidata.org/entity/Q173959,Al-Azhar University
http://www.wikidata.org/entity/Q4392440,Henri Reznik,1938,http://www.wikidata.org/entity/Q427677,Al-Farabi Kazakh National University
http://www.wikidata.org/entity/Q85317569,Mustafa Al-Kadhimi,1967,http://www.wikidata.org/entity/Q4704901,Al-Turath University
http://www.wikidata.org/entity/Q1549468,Joseph Lowery,1921,http://www.wikidata.org/entity/Q1551044,Alabama Agricultural and Mechanical University
