item,itemLabel,occupation,occupationLabel
http://www.wikidata.org/entity/Q4962236,Fredrika Limnell,http://www.wikidata.org/entity/Q3068305,salonnière
http://www.wikidata.org/entity/Q4962236,Fredrika Limnell,http://www.wikidata.org/entity/Q12362622,philanthropist
http://www.wikidata.org/entity/Q4962236,Fredrika Limnell,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q20980160,Emma Isler,http://www.wikidata.org/entity/Q482980,author
http://www.wikidata.org/entity/Q20980160,Emma Isler,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q94772529,Amalie Krüger,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q255221,Táhirih,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q255221,Táhirih,http://www.wikidata.org/entity/Q37226,teacher
http://www.wikidata.org/entity/Q255221,Táhirih,http://www.wikidata.org/entity/Q49757,poet
http://www.wikidata.org/entity/Q255221,Táhirih,http://www.wikidata.org/entity/Q1234713,theologian
http://www.wikidata.org/entity/Q255221,Táhirih,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q19403912,Mary Taylor (1817-1893),http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q19403912,Mary Taylor (1817-1893),http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q12315607,Hansine Andræ,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q12315607,Hansine Andræ,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,http://www.wikidata.org/entity/Q24266767,newspaper proprietor
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q11063,astronomer
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q37226,teacher
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q58968,intellectual
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q82955,politician
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q205375,inventor
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q1780490,communard
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q4964182,philosopher
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q15253558,activist
http://www.wikidata.org/entity/Q349485,Jules Allix,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q313976,P. G. T. Beauregard,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q313976,P. G. T. Beauregard,http://www.wikidata.org/entity/Q47064,military personnel
http://www.wikidata.org/entity/Q313976,P. G. T. Beauregard,http://www.wikidata.org/entity/Q82955,politician
http://www.wikidata.org/entity/Q313976,P. G. T. Beauregard,http://www.wikidata.org/entity/Q205375,inventor
http://www.wikidata.org/entity/Q313976,P. G. T. Beauregard,http://www.wikidata.org/entity/Q1476215,human rights activist
http://www.wikidata.org/entity/Q313976,P. G. T. Beauregard,http://www.wikidata.org/entity/Q4070283,artilleryman
http://www.wikidata.org/entity/Q452281,Lucy Stone,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q452281,Lucy Stone,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q452281,Lucy Stone,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q452281,Lucy Stone,http://www.wikidata.org/entity/Q18510179,abolitionist
http://www.wikidata.org/entity/Q452281,Lucy Stone,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q452281,Lucy Stone,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q6759209,Margaret Bright Lucas,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q6759209,Margaret Bright Lucas,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q116753602,Eloisa Espaillat Rodríguez,http://www.wikidata.org/entity/Q1476215,human rights activist
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,http://www.wikidata.org/entity/Q901,scientist
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,http://www.wikidata.org/entity/Q169470,physicist
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,http://www.wikidata.org/entity/Q205375,inventor
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,http://www.wikidata.org/entity/Q1113838,climatologist
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,http://www.wikidata.org/entity/Q1780490,communard
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q544586,Mary Muller,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q544586,Mary Muller,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,http://www.wikidata.org/entity/Q37226,teacher
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q88387034,Marie Humbert-Droz-Müller,http://www.wikidata.org/entity/Q876864,editing staff
http://www.wikidata.org/entity/Q88387034,Marie Humbert-Droz-Müller,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q1021386,civil rights advocate
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q1476215,human rights activist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q18510179,abolitionist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q34074720,feminist
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q188094,economist
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q2306091,sociologist
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q3242115,revolutionary
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q4964182,philosopher
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q15319501,social scientist
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q15994177,political theorist
http://www.wikidata.org/entity/Q34787,Friedrich Engels,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q1021386,civil rights advocate
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q1476215,human rights activist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q18510179,abolitionist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,http://www.wikidata.org/entity/Q34074720,feminist
http://www.wikidata.org/entity/Q18572240,Anna Gore-Langton,http://www.wikidata.org/entity/Q2478141,aristocrat
http://www.wikidata.org/entity/Q18572240,Anna Gore-Langton,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q64685622,Mabel Sharman Crawford,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q64685622,Mabel Sharman Crawford,http://www.wikidata.org/entity/Q2873500,adventurer
http://www.wikidata.org/entity/Q64685622,Mabel Sharman Crawford,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q39631,physician
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q1476215,human rights activist
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q11774202,essayist
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q18533509,medical writer
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q28692502,women's rights activist
