"fk_personne","personne","gender","zone_geo","annee_naissance","domaines","eff"
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,M,Asie ,1891,"ecrivain_ne,politique,enseignement,droit,SHS,SHS,droit,acti_droits_humains,artiste,enseignement,SHS,SHS,acti_droits_humains,ecrivain_ne,SHS,SHS,politique,SHS,SHS,ecrivain_ne,ecrivain_ne,autre,politique,acti_droits_humains,politique,ecrivain_ne,ecrivain_ne,SHS,sante,acti_droits_femmes,politique,SHS,religieux_ses,droit,ecrivain_ne,politique,enseignement,droit,SHS,SHS,droit,acti_droits_humains,artiste,enseignement,SHS,SHS,acti_droits_humains,ecrivain_ne,SHS,SHS,politique,SHS,SHS,ecrivain_ne,ecrivain_ne,autre,politique,acti_droits_humains,politique,ecrivain_ne,ecrivain_ne,SHS,sante,acti_droits_femmes,politique,SHS,religieux_ses,droit",68
http://www.wikidata.org/entity/Q19526,Maya Angelou,F,Amérique du nord,1928,"cinema_TV,ecrivain_ne,politique,enseignement,artiste,ecrivain_ne,artiste,cinema_TV,artiste,acti_droits_humains,ecrivain_ne,cinema_TV,cinema_TV,cinema_TV,artiste,ecrivain_ne,cinema_TV,ecrivain_ne,ecrivain_ne",19
http://www.wikidata.org/entity/Q318509,Henry Rollins,M,Amérique du nord,1961,"cinema_TV,cinema_TV,ecrivain_ne,ecrivain_ne,artiste,artiste,artiste,artiste,acti_droits_humains,ecrivain_ne,cinema_TV,cinema_TV,autre,cinema_TV,cinema_TV,acti_droits_humains,artiste,artiste",18
http://www.wikidata.org/entity/Q1429821,Florian Mildenberger,M,Europe,1973,"SHS,SHS,SHS,SHS,enseignement,enseignement,enseignement,enseignement,SHS,SHS,SHS,SHS,acti_droits_LGBT,acti_droits_LGBT,acti_droits_LGBT,acti_droits_LGBT",16
http://www.wikidata.org/entity/Q131152,Shirin Ebadi,F,Asie ,1947,"droit,ecrivain_ne,droit,politique,droit,acti_droits_humains,acti_droits_humains,acti_droits_femmes,droit,ecrivain_ne,droit,politique,droit,acti_droits_humains,acti_droits_humains,acti_droits_femmes",16
http://www.wikidata.org/entity/Q1255008,Guiomar Torrezão,F,Europe,1844,"ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne",16
http://www.wikidata.org/entity/Q104622903,Anna Steineger,F,Europe,1852,"ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,enseignement,enseignement,enseignement,enseignement,politique,politique,politique,politique,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes",16
http://www.wikidata.org/entity/Q104530956,Vesna Kesić,F,Europe,1948,"cinema_TV,cinema_TV,cinema_TV,cinema_TV,SHS,SHS,SHS,SHS,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne",16
http://www.wikidata.org/entity/Q557,Patti Smith,F,Amérique du nord,1946,"artiste,ecrivain_ne,artiste,ecrivain_ne,artiste,cinema_TV,artiste,artiste,acti_droits_humains,artiste,artiste,artiste,artiste,artiste,artiste",15
http://www.wikidata.org/entity/Q282787,Derek Jarman,M,Europe,1942,"cinema_TV,artiste,cinema_TV,cinema_TV,ecrivain_ne,artiste,artiste,artiste,cinema_TV,cinema_TV,autre,cinema_TV,ecrivain_ne,acti_droits_LGBT,cinema_TV",15
http://www.wikidata.org/entity/Q23685,Jimmy Carter,M,Amérique du nord,1924,"ecrivain_ne,autre,sciences_experimentales,politique,autre,politique,politique,acti_droits_humains,autre,acti_climat,ecrivain_ne,autre,acti_droits_humains,ecrivain_ne,sante",15
http://www.wikidata.org/entity/Q158060,W. E. B. Du Bois,M,Amérique du nord,1868,"artiste,ecrivain_ne,enseignement,ecrivain_ne,SHS,SHS,acti_droits_humains,SHS,ecrivain_ne,SHS,SHS,ecrivain_ne,ecrivain_ne,sante,ecrivain_ne",15
http://www.wikidata.org/entity/Q152824,Susan Sontag,F,Amérique du nord,1933,"ecrivain_ne,enseignement,SHS,acti_droits_humains,ecrivain_ne,cinema_TV,artiste,ecrivain_ne,ecrivain_ne,SHS,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_femmes,cinema_TV",15
http://www.wikidata.org/entity/Q9049,Noam Chomsky,M,Amérique du nord,1928,"ecrivain_ne,sciences_experimentales,SHS,SHS,enseignement,acti_droits_humains,enseignement,SHS,SHS,ecrivain_ne,SHS,politique,cinema_TV,politique",14
http://www.wikidata.org/entity/Q6530689,Leslie Cannold,F,Océanie,1965,"ecrivain_ne,acti_droits_humains,enseignement,SHS,ecrivain_ne,ecrivain_ne,acti_droits_femmes,acti_droits_femmes,ecrivain_ne,acti_droits_humains,enseignement,SHS,ecrivain_ne,ecrivain_ne",14
http://www.wikidata.org/entity/Q50824418,Line Bareiro,F,Amérique du sud,1950,"droit,SHS,acti_droits_humains,SHS,enseignement,politique,acti_droits_femmes,droit,SHS,acti_droits_humains,SHS,enseignement,politique,acti_droits_femmes",14
http://www.wikidata.org/entity/Q3296444,María Galindo,F,Amérique du sud,1964,"cinema_TV,politique,SHS,autre,politique,acti_droits_LGBT,acti_droits_femmes,cinema_TV,politique,SHS,autre,politique,acti_droits_LGBT,acti_droits_femmes",14
http://www.wikidata.org/entity/Q273385,Marge Piercy,F,Amérique du nord,1936,"ecrivain_ne,ecrivain_ne,ecrivain_ne,politique,ecrivain_ne,acti_droits_femmes,acti_climat,ecrivain_ne,ecrivain_ne,ecrivain_ne,politique,ecrivain_ne,acti_droits_femmes,acti_climat",14
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,F,Amérique du nord,1820,"ecrivain_ne,acti_droits_humains,acti_droits_humains,politique,feministe,acti_droits_femmes,feministe,ecrivain_ne,acti_droits_humains,acti_droits_humains,politique,feministe,acti_droits_femmes,feministe",14
http://www.wikidata.org/entity/Q16224508,Seven Graham,LGBTQ,Europe,1969,"ecrivain_ne,artiste,cinema_TV,acti_droits_humains,autre,acti_droits_LGBT,autre,ecrivain_ne,artiste,cinema_TV,acti_droits_humains,autre,acti_droits_LGBT,autre",14
http://www.wikidata.org/entity/Q316629,Alan Cumming,M,Europe,1965,"cinema_TV,cinema_TV,artiste,artiste,ecrivain_ne,cinema_TV,cinema_TV,cinema_TV,cinema_TV,cinema_TV,cinema_TV,cinema_TV,acti_droits_LGBT",13
http://www.wikidata.org/entity/Q29293006,Aleksandra Nikolajewna Jakobi,F,Europe,1841,"ecrivain_ne,sante,ecrivain_ne,autre,ecrivain_ne,ecrivain_ne,autre,autre,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_femmes",13
http://www.wikidata.org/entity/Q262354,Taraneh Javanbakht,F,Asie ,1974,"artiste,ecrivain_ne,artiste,ecrivain_ne,ecrivain_ne,ecrivain_ne,artiste,artiste,acti_droits_humains,ecrivain_ne,SHS,autre,ecrivain_ne",13
http://www.wikidata.org/entity/Q215868,Alice Walker,F,Amérique du nord,1944,"cinema_TV,cinema_TV,ecrivain_ne,ecrivain_ne,enseignement,acti_droits_humains,enseignement,cinema_TV,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_climat",13
http://www.wikidata.org/entity/Q180989,Jane Addams,F,Amérique du nord,1860,"acti_droits_humains,ecrivain_ne,SHS,SHS,sante,politique,SHS,acti_droits_humains,politique,ecrivain_ne,acti_droits_femmes,ecrivain_ne,feministe",13
http://www.wikidata.org/entity/Q989,John Paul II,M,Europe,1920,"religieux_ses,ecrivain_ne,religieux_ses,ecrivain_ne,politique,enseignement,religieux_ses,religieux_ses,acti_droits_humains,SHS,religieux_ses,religieux_ses",12
http://www.wikidata.org/entity/Q94419311,Mykhtodʹ Volynet︠s︡ʹ,M,Europe,1926,"ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,autre,autre,autre,autre,acti_droits_humains,acti_droits_humains,acti_droits_humains,acti_droits_humains",12
http://www.wikidata.org/entity/Q85875291,Margarida Martins,F,Europe,1953,"artiste,politique,acti_droits_humains,acti_droits_humains,politique,acti_droits_LGBT,artiste,politique,acti_droits_humains,acti_droits_humains,politique,acti_droits_LGBT",12
http://www.wikidata.org/entity/Q7188477,Phyll Opoku-Gyimah,F,Europe,1974,"politique,autre,ecrivain_ne,politique,acti_droits_LGBT,acti_droits_femmes,politique,autre,ecrivain_ne,politique,acti_droits_LGBT,acti_droits_femmes",12
http://www.wikidata.org/entity/Q69910135,Ana Correa Benites,F,Amérique du sud,1953,"cinema_TV,ecrivain_ne,acti_droits_humains,enseignement,artiste,acti_droits_femmes,cinema_TV,ecrivain_ne,acti_droits_humains,enseignement,artiste,acti_droits_femmes",12
http://www.wikidata.org/entity/Q63565853,Angela Maas,F,Europe,1956,"enseignement,enseignement,enseignement,enseignement,sante,sante,sante,sante,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes",12
http://www.wikidata.org/entity/Q63322940,Marie-Thérèse Auffray,F,Europe,1912,"artiste,artiste,artiste,artiste,politique,politique,politique,politique,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes",12
http://www.wikidata.org/entity/Q63253771,Elizabeth Wilson,F,Europe,1936,"ecrivain_ne,SHS,ecrivain_ne,acti_droits_LGBT,acti_droits_femmes,sciences_experimentales,ecrivain_ne,acti_droits_LGBT,acti_droits_femmes,sciences_experimentales,ecrivain_ne,SHS",12
http://www.wikidata.org/entity/Q54358348,Shon Faye,LGBTQ,Europe,1988,"ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_LGBT,acti_droits_LGBT,acti_droits_LGBT,acti_droits_LGBT",12
http://www.wikidata.org/entity/Q53818355,Vilma Reis,F,Amérique du sud,1969,"acti_droits_humains,SHS,acti_droits_LGBT,acti_droits_femmes,acti_droits_humains,SHS,acti_droits_LGBT,acti_droits_femmes,acti_droits_humains,SHS,acti_droits_LGBT,acti_droits_femmes",12
http://www.wikidata.org/entity/Q5368974,Eman al-Nafjan,F,Asie ,1950,"ecrivain_ne,acti_droits_humains,ecrivain_ne,autre,politique,acti_droits_femmes,ecrivain_ne,acti_droits_humains,ecrivain_ne,autre,politique,acti_droits_femmes",12
http://www.wikidata.org/entity/Q529148,Florence Dixie,F,Europe,1855,"ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_femmes,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_femmes",12
http://www.wikidata.org/entity/Q483325,Ellen DeGeneres,F,Amérique du nord,1958,"cinema_TV,cinema_TV,ecrivain_ne,artiste,cinema_TV,cinema_TV,cinema_TV,cinema_TV,cinema_TV,cinema_TV,cinema_TV,acti_droits_LGBT",12
http://www.wikidata.org/entity/Q482907,Bryan Adams,M,Europe,1959,"artiste,cinema_TV,artiste,artiste,artiste,artiste,artiste,acti_droits_humains,acti_droits_humains,artiste,artiste,artiste",12
http://www.wikidata.org/entity/Q464318,Annie Besant,F,Europe,1847,"ecrivain_ne,politique,acti_droits_humains,ecrivain_ne,ecrivain_ne,ecrivain_ne,autre,feministe,acti_droits_femmes,politique,feministe,religieux_ses",12
http://www.wikidata.org/entity/Q460191,Nellie McClung,F,Amérique du nord,1873,"ecrivain_ne,politique,acti_droits_humains,ecrivain_ne,feministe,acti_droits_femmes,ecrivain_ne,politique,acti_droits_humains,ecrivain_ne,feministe,acti_droits_femmes",12
http://www.wikidata.org/entity/Q4499270,Ephraim Kholmyansky,M,Europe,1950,"ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_humains,acti_droits_humains,acti_droits_humains,acti_droits_humains,politique,politique,politique,politique",12
http://www.wikidata.org/entity/Q444593,Gayle Rubin,F,Amérique du nord,1949,"ecrivain_ne,enseignement,SHS,ecrivain_ne,acti_droits_LGBT,acti_droits_femmes,ecrivain_ne,enseignement,SHS,ecrivain_ne,acti_droits_LGBT,acti_droits_femmes",12
http://www.wikidata.org/entity/Q36841879,Pilar Tàvora,F,Europe,1950,"cinema_TV,autre,acti_droits_humains,cinema_TV,autre,acti_droits_femmes,cinema_TV,autre,acti_droits_humains,cinema_TV,autre,acti_droits_femmes",12
http://www.wikidata.org/entity/Q29207618,Hannah van Biema-Hijmans,F,Europe,1864,"politique,politique,politique,politique,ecrivain_ne,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes",12
http://www.wikidata.org/entity/Q28064031,Corinne Marie Louise Pardede-baronesse van Boetzelaer,F,Europe,1912,"autre,autre,autre,autre,politique,politique,politique,politique,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes,acti_droits_femmes",12
http://www.wikidata.org/entity/Q2614668,Caroline van Dommelen,F,Europe,1874,"cinema_TV,cinema_TV,ecrivain_ne,ecrivain_ne,autre,ecrivain_ne,ecrivain_ne,cinema_TV,autre,ecrivain_ne,cinema_TV,acti_droits_femmes",12
