occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q33999,actor,"person who acts in a dramatic or comic production and works in film, television, theatre, or radio"
http://www.wikidata.org/entity/Q36834,composer,person who is an author of music in any form
http://www.wikidata.org/entity/Q130857,disc jockey,person who plays recorded music for an audience
http://www.wikidata.org/entity/Q177220,singer,person singing for a listening audience
http://www.wikidata.org/entity/Q488205,singer-songwriter,"musician who writes, composes and sings own songs"
http://www.wikidata.org/entity/Q855091,guitarist,musician who plays the guitar
http://www.wikidata.org/entity/Q2405480,voice actor,"person who provides voice-overs for a character in films, animation, video games, or in other media"
http://www.wikidata.org/entity/Q10798782,television actor,actor who performs on television
http://www.wikidata.org/entity/Q28692502,women's rights activist,person who advocates women's rights
http://www.wikidata.org/entity/Q55960555,recording artist,"person, musician who performs music for recordings"
http://www.wikidata.org/entity/Q36180,writer,person who uses written words to communicate ideas and to produce literary works
http://www.wikidata.org/entity/Q1930187,journalist,"person who collects, writes, and distributes news and other information"
http://www.wikidata.org/entity/Q8125919,political adviser,professional who promotes the election of certain candidates or the interests of certain groups
http://www.wikidata.org/entity/Q15253558,activist,"person working with promoting or impeding, or causing social, political, economic, or environmental change"
http://www.wikidata.org/entity/Q15958642,political writer,profession
http://www.wikidata.org/entity/Q15980158,non-fiction writer,author who writes non-fiction texts
http://www.wikidata.org/entity/Q322170,suffragette,member of the Woman's Social and Political Union who advocated for women's right to vote
http://www.wikidata.org/entity/Q333634,translator,person who translates written text from one language to another
http://www.wikidata.org/entity/Q1231865,pedagogue,person working in the academic field of pedagogy
http://www.wikidata.org/entity/Q6430706,critic,professional who makes a living communicating their opinions and assessments of various forms of creative work
http://www.wikidata.org/entity/Q169470,physicist,scientist who does research in physics
http://www.wikidata.org/entity/Q864380,biographer,person who creates biographies
http://www.wikidata.org/entity/Q864503,biologist,scientist studying living organisms
http://www.wikidata.org/entity/Q1622272,university teacher,person teaching at a university
http://www.wikidata.org/entity/Q3400985,academic,person who works as a teacher or researcher at a university or other higher education institution
http://www.wikidata.org/entity/Q4964182,philosopher,person with an extensive knowledge of philosophy
http://www.wikidata.org/entity/Q34074720,feminist,person who supports or (and) practices feminism
http://www.wikidata.org/entity/Q1234713,theologian,person who studies theology
http://www.wikidata.org/entity/Q4263842,literary critic,cultural journalist who reviews new literary books
http://www.wikidata.org/entity/Q6625963,novelist,writer of novels
http://www.wikidata.org/entity/Q11774202,essayist,person who writes essays
http://www.wikidata.org/entity/Q11499147,political activist,activist wanting political change
http://www.wikidata.org/entity/Q2306091,sociologist,scientist working in sociology
http://www.wikidata.org/entity/Q214917,playwright,person who writes plays
http://www.wikidata.org/entity/Q12144794,prose writer,person who writes in prose
http://www.wikidata.org/entity/Q82955,politician,person involved in politics; person who holds or seeks positions in government
http://www.wikidata.org/entity/Q37226,teacher,"person who helps others to acquire knowledge, competences or values"
http://www.wikidata.org/entity/Q27532437,suffragist,activist advocating for the women's right to vote
http://www.wikidata.org/entity/Q49757,poet,person who writes poetry
http://www.wikidata.org/entity/Q1086863,columnist,"someone who writes for publication in a series, creating an article that usually offers commentary and opinions"
http://www.wikidata.org/entity/Q1607826,editor,person who edits texts or publications; for book editor use Q124634523; for journal editor use Q124634459
http://www.wikidata.org/entity/Q4182927,stockbroker,professional who buys and sells shares and other securities for both retail and institutional clients
http://www.wikidata.org/entity/Q2730732,equestrian,sportsperson who rides horses
http://www.wikidata.org/entity/Q4144610,alpine skier,sportsperson taking part in alpine skiing competitions
http://www.wikidata.org/entity/Q4270517,skier,person who performs skiing
http://www.wikidata.org/entity/Q10349745,racing automobile driver,occupation driving an automobile in competition
http://www.wikidata.org/entity/Q10833314,tennis player,sportsperson who plays tennis
http://www.wikidata.org/entity/Q13219447,sports journalist,person who reports on sports events in the media
http://www.wikidata.org/entity/Q13219587,figure skater,sportsperson who takes part in figure skating tournaments
http://www.wikidata.org/entity/Q3155377,Islamicist,orientalist specialised in the study of Islam
http://www.wikidata.org/entity/Q4853732,children's writer,writer of literature targeted primarily at children
http://www.wikidata.org/entity/Q18844224,science fiction writer,person who writes works of science fiction
http://www.wikidata.org/entity/Q113469341,writer of feminist science fiction,
http://www.wikidata.org/entity/Q28389,screenwriter,"writer who writes for films, TV shows, comics and games"
http://www.wikidata.org/entity/Q201788,historian,scholar who deals with the exploration and presentation of history
http://www.wikidata.org/entity/Q106568011,magazine editor,editor of a magazine
http://www.wikidata.org/entity/Q6051619,opinion journalist,journalist who makes no claim of objectivity
http://www.wikidata.org/entity/Q40348,lawyer,professional who practices law
http://www.wikidata.org/entity/Q380075,advocate,profession in the field of law
http://www.wikidata.org/entity/Q974144,educator,"occupation which teaches others knowledge, skills, and habits"
http://www.wikidata.org/entity/Q1476215,human rights activist,person who acts to protect human rights
http://www.wikidata.org/entity/Q131512,farmer,"person engaged in agriculture, raising living organisms for food or raw materials"
http://www.wikidata.org/entity/Q188094,economist,professional in the discipline of economics
http://www.wikidata.org/entity/Q3578589,environmentalist,someone who supports the goals of the environmental movement
http://www.wikidata.org/entity/Q42973,architect,"person trained to plan and design buildings, and oversee their construction"
http://www.wikidata.org/entity/Q16323111,peace activist,activist focused on avoiding war
http://www.wikidata.org/entity/Q15978337,social critic,critic focused on social issues
http://www.wikidata.org/entity/Q3242115,revolutionary,person who participates in a revolution
http://www.wikidata.org/entity/Q12359071,anarchist,person practicing anarchism
http://www.wikidata.org/entity/Q2504617,romanist,scholar specialising in Romance studies
http://www.wikidata.org/entity/Q13418253,philologist,person who practices philology
http://www.wikidata.org/entity/Q14467526,linguist,language scholar specialized in linguistics
http://www.wikidata.org/entity/Q39631,physician,professional who practices medicine
http://www.wikidata.org/entity/Q105186,pharmacist,healthcare professional who practices in pharmacy
http://www.wikidata.org/entity/Q512314,socialite,person of prominence in upper class society
http://www.wikidata.org/entity/Q12362622,philanthropist,person known for philanthropic work
http://www.wikidata.org/entity/Q2746259,party chair,presiding officer of a political party
http://www.wikidata.org/entity/Q15627169,trade unionist,person involved in trade unions; member or supporter of a trade union
http://www.wikidata.org/entity/Q18814623,autobiographer,person who wrote their autobiography
http://www.wikidata.org/entity/Q182436,librarian,curator of a library
http://www.wikidata.org/entity/Q54128,domestic worker,person who works within the scope of a residence
http://www.wikidata.org/entity/Q58428578,linguistic rights activist,"person who, individually or with others, acts to promote or protect some variation of linguistic rights"
http://www.wikidata.org/entity/Q1021386,civil rights advocate,advocate for civil rights
