item,itemLabel,year
http://www.wikidata.org/entity/Q4962236,Fredrika Limnell,1816
http://www.wikidata.org/entity/Q94772529,Amalie Krüger,1816
http://www.wikidata.org/entity/Q20980160,Emma Isler,1816
http://www.wikidata.org/entity/Q255221,Táhirih,1817
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,1817
http://www.wikidata.org/entity/Q12315607,Hansine Andræ,1817
http://www.wikidata.org/entity/Q19403912,Mary Taylor (1817-1893),1817
http://www.wikidata.org/entity/Q349485,Jules Allix,1818
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,1818
http://www.wikidata.org/entity/Q452281,Lucy Stone,1818
http://www.wikidata.org/entity/Q6759209,Margaret Bright Lucas,1818
http://www.wikidata.org/entity/Q544586,Mary Muller,1819
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,1819
http://www.wikidata.org/entity/Q88387034,Marie Humbert-Droz-Müller,1819
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,1819
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,1819
http://www.wikidata.org/entity/Q34787,Friedrich Engels,1820
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,1820
http://www.wikidata.org/entity/Q64685622,Mabel Sharman Crawford,1820
http://www.wikidata.org/entity/Q18572240,Anna Gore-Langton,1820
http://www.wikidata.org/entity/Q546568,Klára Leövey,1821
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,1821
http://www.wikidata.org/entity/Q62038982,Elizabeth Rowell Thompson,1821
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,1822
http://www.wikidata.org/entity/Q2192278,Elise van Calcar,1822
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,1822
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,1822
http://www.wikidata.org/entity/Q15076218,Nadezhda Stasova,1822
http://www.wikidata.org/entity/Q4346827,Sophie Adlersparre,1823
http://www.wikidata.org/entity/Q4964291,Line Luplau,1823
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,1823
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,1824
http://www.wikidata.org/entity/Q303708,Aasta Hansteen,1824
http://www.wikidata.org/entity/Q2527809,Virginie Barbet,1824
http://www.wikidata.org/entity/Q3189140,Julie-Victoire Daubié,1824
http://www.wikidata.org/entity/Q3946147,Salvatore Morelli,1824
http://www.wikidata.org/entity/Q85086830,Therese Bacon,1824
http://www.wikidata.org/entity/Q6152528,Maria Atkinson,1824
http://www.wikidata.org/entity/Q18917208,Amelia Freund,1824
http://www.wikidata.org/entity/Q542217,Catherine Spence,1825
http://www.wikidata.org/entity/Q546568,Klára Leövey,1825
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,1825
http://www.wikidata.org/entity/Q5718725,Henry Browne Blackwell,1825
http://www.wikidata.org/entity/Q2706181,Nathalie Lemel,1826
http://www.wikidata.org/entity/Q1897348,Marie Goegg-Pouchoulin,1826
http://www.wikidata.org/entity/Q3119366,Matilda Joslyn Gage,1826
http://www.wikidata.org/entity/Q4410933,Adelaïde Ehrnrooth,1826
http://www.wikidata.org/entity/Q7320840,Rhoda Coffin,1826
http://www.wikidata.org/entity/Q19754707,Anna Maria Gesina Bosscha,1826
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,1827
http://www.wikidata.org/entity/Q3106881,Giorgina Janet Craufurd,1827
http://www.wikidata.org/entity/Q18762034,Margaret Parker,1827
http://www.wikidata.org/entity/Q20559490,Þorbjörg Sveinsdóttir,1827
http://www.wikidata.org/entity/Q99383415,Martha McWhirter,1827
http://www.wikidata.org/entity/Q225863,Josephine Butler,1828
http://www.wikidata.org/entity/Q2939984,Caroline de Barrau,1828
http://www.wikidata.org/entity/Q27468360,Mary Chase Walker,1828
http://www.wikidata.org/entity/Q110060222,Marie von Hombergk zu Vach,1828
http://www.wikidata.org/entity/Q55886359,Antonie Schrötter von Kristelli,1828
http://www.wikidata.org/entity/Q16060020,Mary Birdsall,1828
http://www.wikidata.org/entity/Q4896496,Bessie Rayner Parkes,1829
http://www.wikidata.org/entity/Q95456722,Anna Veronika Mikšíčková,1829
http://www.wikidata.org/entity/Q38786,Mathilde Fibiger,1830
http://www.wikidata.org/entity/Q66502,Lina Morgenstern,1830
http://www.wikidata.org/entity/Q2748528,Emily Davies,1830
http://www.wikidata.org/entity/Q65164698,Socorro Sánchez del Rosario,1830
http://www.wikidata.org/entity/Q41338497,Gerharda Matthijssen,1830
http://www.wikidata.org/entity/Q88216283,Eliza Wright Osborne,1830
http://www.wikidata.org/entity/Q110348313,Sigþrúður Friðriksdóttir,1830
http://www.wikidata.org/entity/Q55907398,Sidonie Kohen,1830
http://www.wikidata.org/entity/Q24242263,Harriet Jemima Winifred Clisby,1830
http://www.wikidata.org/entity/Q71491,Hedwig Dohm,1831
http://www.wikidata.org/entity/Q2941781,Catharina van Rees,1831
http://www.wikidata.org/entity/Q28922613,Anna Houry,1831
http://www.wikidata.org/entity/Q88211310,Marie Mineur,1831
http://www.wikidata.org/entity/Q18721964,Isa Knox,1831
http://www.wikidata.org/entity/Q19756134,Henriette Frederica Bosscha,1831
http://www.wikidata.org/entity/Q2418031,Mary Edwards Walker,1832
http://www.wikidata.org/entity/Q4750322,Ana Betancourt,1832
http://www.wikidata.org/entity/Q8201100,Antonia Tarragó,1832
http://www.wikidata.org/entity/Q113489143,Ida Schmidt-Zabierow,1832
http://www.wikidata.org/entity/Q99601893,Céleste Hardouin,1832
http://www.wikidata.org/entity/Q2406076,Betsy Perk,1833
http://www.wikidata.org/entity/Q4935550,Ellen Anckarsvärd,1833
http://www.wikidata.org/entity/Q5045142,Caroline M. Nichols Churchill,1833
http://www.wikidata.org/entity/Q94733019,Auguste von Littrow,1833
http://www.wikidata.org/entity/Q43400824,Barbare Jorjadze,1833
http://www.wikidata.org/entity/Q6548258,Lillie Devereux Blake,1833
http://www.wikidata.org/entity/Q7422061,Sarah Anne Curzon,1833
http://www.wikidata.org/entity/Q15881199,Reinoudina de Goeje,1833
http://www.wikidata.org/entity/Q2178531,Mariane van Hogendorp,1834
http://www.wikidata.org/entity/Q61062488,Charlotte Klein,1834
http://www.wikidata.org/entity/Q18603370,Anna Wolterbeek,1834
http://www.wikidata.org/entity/Q19059794,Maria Scheltema,1834
http://www.wikidata.org/entity/Q2172619,Codien Zwaardemaker-Visscher,1835
http://www.wikidata.org/entity/Q3498121,Stella Blandy,1835
http://www.wikidata.org/entity/Q4947472,Emily Faithfull,1835
