item,itemLabel,occupationLabel
http://www.wikidata.org/entity/Q4962236,Fredrika Limnell,salonnière
http://www.wikidata.org/entity/Q4962236,Fredrika Limnell,philanthropist
http://www.wikidata.org/entity/Q4962236,Fredrika Limnell,women's rights activist
http://www.wikidata.org/entity/Q94772529,Amalie Krüger,women's rights activist
http://www.wikidata.org/entity/Q20980160,Emma Isler,author
http://www.wikidata.org/entity/Q20980160,Emma Isler,women's rights activist
http://www.wikidata.org/entity/Q255221,Táhirih,writer
http://www.wikidata.org/entity/Q255221,Táhirih,teacher
http://www.wikidata.org/entity/Q255221,Táhirih,poet
http://www.wikidata.org/entity/Q255221,Táhirih,theologian
http://www.wikidata.org/entity/Q255221,Táhirih,women's rights activist
http://www.wikidata.org/entity/Q12315607,Hansine Andræ,writer
http://www.wikidata.org/entity/Q12315607,Hansine Andræ,women's rights activist
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,writer
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,journalist
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,newspaper proprietor
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,women's rights activist
http://www.wikidata.org/entity/Q19403912,Mary Taylor (1817-1893),writer
http://www.wikidata.org/entity/Q19403912,Mary Taylor (1817-1893),women's rights activist
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,journalist
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,suffragist
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,women's rights activist
http://www.wikidata.org/entity/Q452281,Lucy Stone,writer
http://www.wikidata.org/entity/Q452281,Lucy Stone,editor
http://www.wikidata.org/entity/Q452281,Lucy Stone,journalist
http://www.wikidata.org/entity/Q452281,Lucy Stone,abolitionist
http://www.wikidata.org/entity/Q452281,Lucy Stone,suffragist
http://www.wikidata.org/entity/Q452281,Lucy Stone,women's rights activist
http://www.wikidata.org/entity/Q349485,Jules Allix,astronomer
http://www.wikidata.org/entity/Q349485,Jules Allix,teacher
http://www.wikidata.org/entity/Q349485,Jules Allix,intellectual
http://www.wikidata.org/entity/Q349485,Jules Allix,politician
http://www.wikidata.org/entity/Q349485,Jules Allix,inventor
http://www.wikidata.org/entity/Q349485,Jules Allix,communard
http://www.wikidata.org/entity/Q349485,Jules Allix,philosopher
http://www.wikidata.org/entity/Q349485,Jules Allix,activist
http://www.wikidata.org/entity/Q349485,Jules Allix,women's rights activist
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,writer
http://www.wikidata.org/entity/Q6759209,Margaret Bright Lucas,suffragist
http://www.wikidata.org/entity/Q6759209,Margaret Bright Lucas,women's rights activist
http://www.wikidata.org/entity/Q544586,Mary Muller,suffragist
http://www.wikidata.org/entity/Q544586,Mary Muller,women's rights activist
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,writer
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,editor
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,communard
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,journalist
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,women's rights activist
http://www.wikidata.org/entity/Q88387034,Marie Humbert-Droz-Müller,editing staff
http://www.wikidata.org/entity/Q88387034,Marie Humbert-Droz-Müller,women's rights activist
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,writer
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,teacher
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,editor
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,women's rights activist
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,scientist
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,physicist
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,inventor
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,climatologist
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,women's rights activist
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,writer
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,civil rights advocate
