item,itemLabel,year,lieunaissance,lieunaissanceLabel,coordinates
http://www.wikidata.org/entity/Q94772529,Amalie Krüger,1816,http://www.wikidata.org/entity/Q3933,Celle,Point(10.0825 52.625555555)
http://www.wikidata.org/entity/Q4962236,Fredrika Limnell,1816,http://www.wikidata.org/entity/Q10531743,Härnösands domkyrkoförsamling,Point(17.941886111 62.631063888)
http://www.wikidata.org/entity/Q20980160,Emma Isler,1816,http://www.wikidata.org/entity/Q487070,Dessau,Point(12.246111111 51.834166666)
http://www.wikidata.org/entity/Q255221,Táhirih,1817,http://www.wikidata.org/entity/Q181578,Qazvin,Point(50.0041 36.285436666)
http://www.wikidata.org/entity/Q19403912,Mary Taylor (1817-1893),1817,http://www.wikidata.org/entity/Q3773203,Gomersal,Point(-1.68824 53.7362)
http://www.wikidata.org/entity/Q12315607,Hansine Andræ,1817,http://www.wikidata.org/entity/Q2345706,Sengeløse,Point(12.2431 55.6814)
http://www.wikidata.org/entity/Q43302262,Violante Atabalipa Ximenes de Bivar e Vellasco,1817,http://www.wikidata.org/entity/Q36947,Salvador,Point(-38.492777777 -12.983055555)
http://www.wikidata.org/entity/Q442759,Amelia Bloomer,1818,http://www.wikidata.org/entity/Q486566,Homer,Point(-76.178611111 42.636944444)
http://www.wikidata.org/entity/Q313976,P. G. T. Beauregard,1818,http://www.wikidata.org/entity/Q503883,St. Bernard Parish,Point(-89.35 29.89)
http://www.wikidata.org/entity/Q6759209,Margaret Bright Lucas,1818,http://www.wikidata.org/entity/Q474605,Rochdale,Point(-2.161 53.6136)
http://www.wikidata.org/entity/Q452281,Lucy Stone,1818,http://www.wikidata.org/entity/Q962640,West Brookfield,Point(-72.141666666 42.235277777)
http://www.wikidata.org/entity/Q452281,Lucy Stone,1818,http://www.wikidata.org/entity/Q962640,West Brookfield,Point(-72.14119 42.23537)
http://www.wikidata.org/entity/Q349485,Jules Allix,1818,http://www.wikidata.org/entity/Q213497,Fontenay-le-Comte,Point(-0.806388888 46.466944444)
http://www.wikidata.org/entity/Q26763822,Eunice Newton Foote,1819,http://www.wikidata.org/entity/Q2447509,Goshen,Point(-73.235833333 41.851388888)
http://www.wikidata.org/entity/Q88387034,Marie Humbert-Droz-Müller,1819,http://www.wikidata.org/entity/Q1022,Stuttgart,Point(9.18 48.7775)
http://www.wikidata.org/entity/Q55900753,Juliane Engell-Günther,1819,http://www.wikidata.org/entity/Q507967,Bad Sülze,Point(12.666666666 54.133333333)
http://www.wikidata.org/entity/Q544586,Mary Muller,1819,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q2825426,Adèle Esquiros,1819,http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
http://www.wikidata.org/entity/Q18572240,Anna Gore-Langton,1820,http://www.wikidata.org/entity/Q1003761,Stowe,Point(-1.017 52.018)
http://www.wikidata.org/entity/Q192245,Susan B. Anthony,1820,http://www.wikidata.org/entity/Q351740,Adams,Point(-73.118055555 42.624166666)
http://www.wikidata.org/entity/Q64685622,Mabel Sharman Crawford,1820,http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
http://www.wikidata.org/entity/Q34787,Friedrich Engels,1820,http://www.wikidata.org/entity/Q153974,Barmen,Point(7.2 51.266666666)
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,1821,http://www.wikidata.org/entity/Q23154,Bristol,Point(-2.5975 51.453611111)
http://www.wikidata.org/entity/Q62038982,Elizabeth Rowell Thompson,1821,http://www.wikidata.org/entity/Q1388877,Lyndon,Point(-72.0075179 44.5450155)
http://www.wikidata.org/entity/Q546568,Klára Leövey,1821,http://www.wikidata.org/entity/Q334874,Sighetu Marmației,Point(23.894694444 47.930944444)
http://www.wikidata.org/entity/Q102870,Harriet Tubman,1822,http://www.wikidata.org/entity/Q501263,Dorchester County,Point(-76.08 38.42)
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,1822,http://www.wikidata.org/entity/Q25804,Trondheim,Point(10.4 63.44)
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,1822,http://www.wikidata.org/entity/Q100,Boston,Point(-71.057777777 42.360277777)
http://www.wikidata.org/entity/Q15076218,Nadezhda Stasova,1822,http://www.wikidata.org/entity/Q7947,Pushkin,Point(30.416666666 59.716666666)
http://www.wikidata.org/entity/Q2192278,Elise van Calcar,1822,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,1822,http://www.wikidata.org/entity/Q1761,Dublin,Point(-6.260277777 53.349722222)
http://www.wikidata.org/entity/Q4964291,Line Luplau,1823,http://www.wikidata.org/entity/Q2106553,Mern,Point(12.0572 55.0478)
http://www.wikidata.org/entity/Q4346827,Sophie Adlersparre,1823,http://www.wikidata.org/entity/Q10718453,Q10718453,Point(16.573888888 57.658888888)
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,1823,http://www.wikidata.org/entity/Q3708701,Pompey,Point(-76.015833333 42.898888888)
http://www.wikidata.org/entity/Q18917208,Amelia Freund,1824,http://www.wikidata.org/entity/Q38872,Prussia,
http://www.wikidata.org/entity/Q2527809,Virginie Barbet,1824,http://www.wikidata.org/entity/Q838701,Saint-Denis-lès-Bourg,Point(5.192222222 46.199722222)
http://www.wikidata.org/entity/Q3189140,Julie-Victoire Daubié,1824,http://www.wikidata.org/entity/Q768030,Bains-les-Bains,Point(6.263611111 48.0025)
http://www.wikidata.org/entity/Q3946147,Salvatore Morelli,1824,http://www.wikidata.org/entity/Q51860,Carovigno,Point(17.659444444 40.707222222)
http://www.wikidata.org/entity/Q458559,Victoire Léodile Béra,1824,http://www.wikidata.org/entity/Q628226,Lusignan,Point(0.122777777 46.434722222)
http://www.wikidata.org/entity/Q6152528,Maria Atkinson,1824,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q303708,Aasta Hansteen,1824,http://www.wikidata.org/entity/Q21711493,Christiania,
http://www.wikidata.org/entity/Q546568,Klára Leövey,1825,http://www.wikidata.org/entity/Q334874,Sighetu Marmației,Point(23.894694444 47.930944444)
http://www.wikidata.org/entity/Q5718725,Henry Browne Blackwell,1825,http://www.wikidata.org/entity/Q23154,Bristol,Point(-2.5975 51.453611111)
http://www.wikidata.org/entity/Q60318,Karl Heinrich Ulrichs,1825,http://www.wikidata.org/entity/Q1669573,Kirchdorf,Point(7.47889 53.4486)
http://www.wikidata.org/entity/Q5478699,Frances Ellen Watkins Harper,1825,http://www.wikidata.org/entity/Q5092,Baltimore,Point(-76.615 39.286388888)
http://www.wikidata.org/entity/Q542217,Catherine Spence,1825,http://www.wikidata.org/entity/Q632993,Melrose,Point(-2.716666666 55.583333333)
http://www.wikidata.org/entity/Q4410933,Adelaïde Ehrnrooth,1826,http://www.wikidata.org/entity/Q369576,Nastola,Point(25.9300785 60.9477434)
http://www.wikidata.org/entity/Q3119366,Matilda Joslyn Gage,1826,http://www.wikidata.org/entity/Q31219,Cicero,Point(-76.130277777 43.134722222)
http://www.wikidata.org/entity/Q1897348,Marie Goegg-Pouchoulin,1826,http://www.wikidata.org/entity/Q71,Geneva,Point(6.15 46.2)
http://www.wikidata.org/entity/Q19754707,Anna Maria Gesina Bosscha,1826,http://www.wikidata.org/entity/Q10001,Deventer,Point(6.2 52.25)
http://www.wikidata.org/entity/Q2706181,Nathalie Lemel,1826,http://www.wikidata.org/entity/Q12193,Brest,Point(-4.486944444 48.39)
http://www.wikidata.org/entity/Q18762034,Margaret Parker,1827,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q6646452,Armand Lévy,1827,http://www.wikidata.org/entity/Q579459,Précy-sous-Thil,Point(4.312222222 47.386944444)
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,1827,http://www.wikidata.org/entity/Q1611038,Whatlington,Point(0.51 50.94)
http://www.wikidata.org/entity/Q99383415,Martha McWhirter,1827,http://www.wikidata.org/entity/Q2057053,Gainesboro,Point(-85.654722222 36.359722222)
http://www.wikidata.org/entity/Q3106881,Giorgina Janet Craufurd,1827,http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888)
http://www.wikidata.org/entity/Q27468360,Mary Chase Walker,1828,http://www.wikidata.org/entity/Q54179,Methuen,Point(-71.191388888 42.726111111)
